Step:87  avg_loss:2162.8134766   counting:300.0000071    predict:7070.2602539
Step:88  avg_loss:1497.0175781   counting:244.9999771    predict:4766.7958984
Step:89  avg_loss:3833.6035156   counting:102.9999988    predict:11688.6464844
Step:90  avg_loss:1240.8548584   counting:319.9999702    predict:4428.3510742
Step:91  avg_loss:4560.3955078   counting:2650.0004034   predict:16868.0976562
Step:92  avg_loss:1225.5599365   counting:272.9999999    predict:4255.6845703
Step:93  avg_loss:1278.6506348   counting:2229.9997036   predict:7196.1928711
Step:94  avg_loss:2614.9780273   counting:555.9998952    predict:9139.3652344
Step:95  avg_loss:2929.8127441   counting:499.9999496    predict:10370.1513672
Step:96  avg_loss:1084.2932129   counting:221.9999930    predict:3870.0849609
Step:97  avg_loss:2704.3955078   counting:314.0000010    predict:9104.2753906
Step:98  avg_loss:3830.7272949   counting:430.9998960    predict:12230.1425781
Step:99  avg_loss:3733.3950195   counting:370.9999996    predict:11219.3662109
Step:100         avg_loss:3953.6328125   counting:298.0000130    predict:13100.1220703
Step:101         avg_loss:4074.1745605   counting:184.0000129    predict:13644.2324219
Step:102         avg_loss:1230.5124512   counting:42.9999983     predict:2666.0595703
Step:103         avg_loss:925.0737915    counting:359.9999842    predict:3583.2724609
Step:104         avg_loss:3258.3095703   counting:147.0000143    predict:10329.0791016
Step:105         avg_loss:5032.4785156   counting:583.9997790    predict:13075.6494141
Step:106         avg_loss:3253.3740234   counting:121.0000165    predict:6969.8798828
Step:107         avg_loss:3706.8505859   counting:732.9998121    predict:12606.2314453
Step:108         avg_loss:2945.3762207   counting:861.9998014    predict:11113.1103516
Step:109         avg_loss:2616.8154297   counting:227.9999928    predict:8218.7607422
Step:110         avg_loss:3649.7075195   counting:722.9997607    predict:12399.9296875
Step:111         avg_loss:947.3599854    counting:2671.9999044   predict:5291.3916016
Step:112         avg_loss:786.1513672    counting:544.0000041    predict:3674.8312988
Step:113         avg_loss:811.0378418    counting:258.9999619    predict:2937.6159668
Step:114         avg_loss:2493.7446289   counting:288.0000413    predict:9717.2099609
Step:115         avg_loss:1564.9215088   counting:613.9999173    predict:6334.7221680
Step:116         avg_loss:1876.7899170   counting:357.9999479    predict:7468.6162109
Step:117         avg_loss:2090.3515625   counting:1619.9996104   predict:10202.9140625
Step:118         avg_loss:2423.2626953   counting:216.0000589    predict:9241.6220703
Step:119         avg_loss:2999.9611816   counting:2261.0002283   predict:11919.9863281
Step:120         avg_loss:815.3115234    counting:156.0000205    predict:3172.6806641
Step:121         avg_loss:3220.9699707   counting:466.0000141    predict:11937.3417969
Step:122         avg_loss:3285.5603027   counting:252.0000752    predict:11757.8593750
Step:123         avg_loss:4053.2968750   counting:751.9998711    predict:11459.4042969
Step:124         avg_loss:1861.3332520   counting:65.9999970     predict:6967.2841797
Step:125         avg_loss:2101.5190430   counting:279.0000202    predict:8485.5712891
Step:126         avg_loss:440.1054688    counting:142.0000025    predict:1725.8491211
Step:127         avg_loss:2204.5686035   counting:1455.9997127   predict:9973.4179688
Step:128         avg_loss:2445.5927734   counting:256.0000386    predict:9768.6406250
Step:129         avg_loss:2695.8237305   counting:1176.9997876   predict:9848.1259766
Step:130         avg_loss:578.5055542    counting:602.9998863    predict:2881.1899414
Step:131         avg_loss:1588.2370605   counting:199.9999979    predict:6723.0683594
Step:132         avg_loss:2110.9804688   counting:826.9998535    predict:9938.9775391
Step:133         avg_loss:3131.9741211   counting:959.9993629    predict:14489.7148438
Step:134         avg_loss:146.2409821    counting:354.0000112    predict:1052.4257812
Step:135         avg_loss:841.0225220    counting:700.9998220    predict:4539.5942383
Step:136         avg_loss:1636.4428711   counting:1356.9996207   predict:8258.0029297
Step:137         avg_loss:1912.9494629   counting:422.9999761    predict:8961.6757812
Step:138         avg_loss:549.4840088    counting:211.9999960    predict:2742.4643555
Step:139         avg_loss:2299.3479004   counting:356.9999975    predict:10599.5488281
Step:140         avg_loss:665.0296631    counting:405.9999220    predict:3631.9672852
Step:141         avg_loss:799.2615967    counting:319.9999950    predict:4036.6672363
Step:142         avg_loss:1576.0917969   counting:1295.9996688   predict:8222.0634766
Step:143         avg_loss:2037.4415283   counting:776.9999289    predict:10165.7617188
Step:144         avg_loss:1563.1632080   counting:350.0000140    predict:7424.7587891
Step:145         avg_loss:1866.2319336   counting:284.0000543    predict:8963.0214844
Step:146         avg_loss:3742.4365234   counting:369.0000265    predict:10043.1406250
Step:147         avg_loss:1924.9943848   counting:102.0000016    predict:8719.0664062
Step:148         avg_loss:1650.6030273   counting:2072.0000585   predict:8741.6435547
Step:149         avg_loss:1056.1826172   counting:988.9998835    predict:5465.4604492
Step:150         avg_loss:554.8508301    counting:986.9999099    predict:4005.3518066
Step:151         avg_loss:1143.0791016   counting:441.9999008    predict:5898.1386719
Step:152         avg_loss:603.5753784    counting:704.9999746    predict:2960.5102539
Step:153         avg_loss:729.6332397    counting:211.0000167    predict:3183.9145508
Step:154         avg_loss:628.8274536    counting:410.9999493    predict:3119.6416016
